title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Toy Story 3,2010,Animation,103,Lee Unkrich,Tom Hanks,1066.97,415.0,8.2,8.3,8.2,8.2,8.3,8.3,8.1,803605,466067,117554,671,154698,329802,65682,8.4,8.2,124533,315150
Warrior,2011,Action,140,Gavin O'Connor,Tom Hardy,23.31,13.66,8.1,8.1,8.2,8.3,8.4,8.1,7.8,458454,317208,36689,95,80876,217317,35270,8.2,8.1,53987,204332
Scream 4,2011,Horror,111,Wes Craven,Neve Campbell,97.23,38.18,6.2,6.1,6.2,6.7,6.4,6.1,5.9,142883,92375,21932,106,22779,74333,13576,6.5,6.0,27943,65474
"Crazy, Stupid, Love.",2011,Comedy,118,Glenn Ficarra,Steve Carell,145.05,84.35,7.4,7.4,7.5,7.6,7.6,7.4,7.2,503105,269749,123846,110,94848,238325,41895,7.5,7.3,68094,227251
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,130,David Yates,Daniel Radcliffe,1342.32,381.01,8.1,8.0,8.5,8.5,8.4,8.0,7.8,832178,446917,148441,608,193382,308028,58121,8.2,7.9,102411,321921
New Year's Eve,2011,Comedy,118,Garry Marshall,Sarah Jessica Parker,142.04,54.54,5.7,5.4,6.0,5.5,6.0,5.5,5.6,85264,35831,33342,6,17223,40145,9143,5.4,5.6,11241,41372
The Girl with the Dragon Tattoo,2011,Crime,158,David Fincher,Daniel Craig,232.62,102.52,7.8,7.8,7.8,8.0,7.9,7.8,7.6,450890,284205,72455,101,69530,219205,52687,7.9,7.7,66444,206679
Just Go with It,2011,Comedy,117,Dennis Dugan,Adam Sandler,214.95,103.03,6.4,6.3,6.6,6.2,6.5,6.3,6.2,236512,124789,59718,68,44462,111172,20956,6.3,6.3,32488,107485
Captain America: The First Avenger,2011,Action,124,Joe Johnston,Chris Evans,370.57,176.65,6.9,6.8,7.2,7.1,7.0,6.8,7.0,807750,473479,95191,686,146180,310629,72565,7.2,6.7,110470,296964
Thor,2011,Action,115,Kenneth Branagh,Chris Hemsworth,449.33,181.03,7.0,6.9,7.3,6.8,7.0,7.0,7.0,806767,473951,110910,595,142845,332413,73542,7.1,6.9,108842,317121
Moneyball,2011,Biography,133,Bennett Miller,Brad Pitt,110.21,75.61,7.6,7.6,7.3,7.7,7.7,7.6,7.5,404623,272343,41194,129,59550,194783,44730,7.8,7.5,65779,177162
Drive,2011,Action,100,Nicolas Winding Refn,Ryan Gosling,77.19,35.06,7.8,7.8,7.5,8.1,8.0,7.8,7.5,609683,399540,74611,181,95901,298710,59408,7.9,7.7,83096,286463
Transformers: Dark of the Moon,2011,Action,154,Michael Bay,Shia LaBeouf,1123.79,352.39,6.2,6.2,6.4,6.0,6.3,6.2,6.0,399509,283697,38735,154,69966,199724,38407,6.1,6.2,59260,181567
Midnight in Paris,2011,Comedy,94,Woody Allen,Owen Wilson,151.67,56.82,7.7,7.7,7.6,8.3,7.8,7.6,7.5,411640,230394,93290,116,69401,198304,43978,7.8,7.6,53401,198175
The Help,2011,Drama,146,Tate Taylor,Emma Stone,216.64,169.71,8.0,7.9,8.4,7.6,8.2,8.0,8.0,444993,207141,135231,129,75942,196381,52107,8.0,8.0,70027,184602
In Time,2011,Action,109,Andrew Niccol,Justin Timberlake,173.93,37.52,6.7,6.7,6.8,7.1,7.0,6.6,6.5,397193,249253,65072,100,71893,188105,39718,6.5,6.6,43139,189960
X: First Class,2011,Action,131,Matthew Vaughn,James McAvoy,352.62,146.41,7.7,7.7,7.9,7.7,7.8,7.7,7.6,673512,430674,89779,259,117513,311986,62895,7.8,7.6,98486,287575
Margin Call,2011,Drama,107,J.C. Chandor,Zachary Quinto,19.5,5.35,7.1,7.2,7.0,6.8,7.1,7.1,7.2,124598,91140,12521,10,11654,66138,22413,7.3,7.1,16354,68895
Friends with Benefits,2011,Comedy,109,Will Gluck,Mila Kunis,149.54,55.8,6.5,6.5,6.7,6.2,6.8,6.5,6.3,358227,181002,96925,85,79898,160658,24204,6.6,6.5,40839,161903
Horrible Bosses,2011,Comedy,98,Seth Gordon,Jason Bateman,209.84,117.54,6.8,6.9,6.8,6.8,7.0,6.8,6.7,438949,277964,76216,66,76312,221827,40177,7.0,6.8,68630,202367
Bridesmaids,2011,Comedy,125,Paul Feig,Kristen Wiig,288.38,169.11,6.8,6.7,7.0,6.8,6.8,6.8,6.8,285175,141063,87896,57,43171,142287,35078,7.2,6.6,62482,121000
Pirates of the Caribbean: On Stranger Tides,2011,Action,137,Rob Marshall,Johnny Depp,1045.71,241.06,6.6,6.6,6.9,6.7,6.8,6.6,6.5,507576,309632,77426,276,106071,220235,41807,6.5,6.6,59550,226703
No Strings Attached,2011,Comedy,108,Ivan Reitman,Natalie Portman,149.23,70.66,6.2,6.2,6.3,6.5,6.4,6.2,6.0,225072,113450,65259,49,44850,110035,17260,6.1,6.1,28305,108233
Limitless,2011,Sci-Fi,105,Neil Burger,Bradley Cooper,161.85,79.25,7.4,7.4,7.4,7.4,7.6,7.3,7.2,555494,360983,75981,88,98312,264754,52955,7.2,7.3,61771,264614
Shame,2011,Drama,101,Steve McQueen,Michael Fassbender,19.12,4.0,7.2,7.2,7.1,7.7,7.5,7.2,6.9,192121,119482,38255,45,29933,101312,21790,7.4,7.2,22162,105643
Hall Pass,2011,Comedy,105,Bobby Farrelly,Owen Wilson,86.16,45.06,5.8,5.9,5.5,4.5,5.8,5.9,5.8,124341,88463,17551,11,17896,70976,14349,5.9,5.8,23744,62861
Contagion,2011,Drama,106,Steven Soderbergh,Matt Damon,136.52,75.66,6.8,6.7,6.7,6.5,6.8,6.7,6.8,297620,193716,42725,100,37615,147583,41987,6.9,6.7,44479,143834
The Cabin in the Woods,2011,Horror,95,Drew Goddard,Kristen Connolly,70.06,42.07,7.0,7.0,6.8,7.1,7.0,7.0,7.0,402103,251144,60149,151,66222,188234,41856,7.5,6.8,66456,172134
The Descendants,2011,Comedy,115,Alexander Payne,George Clooney,177.24,82.58,7.3,7.3,7.2,7.7,7.4,7.3,7.3,239215,155522,47703,21,30412,129457,37453,7.5,7.2,41065,124922
Mission: Impossible - Ghost Protocol,2011,Action,132,Brad Bird,Tom Cruise,694.71,209.4,7.4,7.4,7.4,7.7,7.6,7.3,7.2,477147,332622,43872,166,77152,225383,54536,7.5,7.3,64725,214868
The Hangover Part II,2011,Comedy,102,Todd Phillips,Bradley Cooper,586.76,254.46,6.5,6.4,6.4,6.5,6.6,6.4,6.1,486284,318050,65542,144,94519,233935,37619,6.2,6.4,60426,228047
Jack Reacher,2012,Action,130,Christopher McQuarrie,Tom Cruise,218.34,80.07,7.0,7.0,6.8,6.6,7.0,6.9,7.0,329104,228678,28019,71,43045,149172,47806,7.1,6.9,41539,150859
Django Unchained,2012,Drama,165,Quentin Tarantino,Jamie Foxx,426.07,162.81,8.4,8.4,8.3,8.7,8.6,8.4,8.0,1471319,850063,170400,682,256460,558055,122021,8.4,8.4,156473,539640
That's My Boy,2012,Comedy,116,Sean Anders,Adam Sandler,57.72,36.93,5.5,5.6,5.3,5.4,5.7,5.5,5.1,97327,63710,13143,35,18543,45242,8753,5.4,5.5,16307,40542
The Dark Knight Rises,2012,Action,164,Christopher Nolan,Christian Bale,1081.14,448.14,8.4,8.4,8.3,8.2,8.6,8.4,8.0,1618300,983415,167486,769,298743,644737,118329,8.3,8.3,190852,582100
The Amazing Spider-Man,2012,Action,136,Marc Webb,Andrew Garfield,757.93,262.03,6.9,6.9,7.3,7.1,7.0,6.9,6.8,627601,383903,74546,553,125766,251883,51610,7.0,6.9,80601,246620
The Hunger Games,2012,Action,142,Gary Ross,Jennifer Lawrence,694.39,408.01,7.2,7.1,7.8,7.4,7.5,7.1,7.1,890113,485307,189166,349,177650,370583,83161,7.4,7.1,123335,355309
The Hobbit: An Unexpected Journey,2012,Adventure,169,Peter Jackson,Martin Freeman,1017.0,303.0,7.8,7.8,8.1,7.8,8.0,7.8,7.7,796699,492261,114796,260,150337,342097,72559,7.7,7.8,87808,339945
The Lucky One,2012,Drama,101,Scott Hicks,Zac Efron,99.36,60.46,6.5,6.3,6.7,6.7,6.7,6.3,6.3,106461,37481,42907,19,25437,41397,8496,6.4,6.3,12240,43311
The Avengers,2012,Action,143,Joss Whedon,Robert Downey Jr.,1518.82,623.28,8.0,8.0,8.2,8.0,8.1,8.0,7.9,1339011,794346,174813,829,256183,530642,110493,8.3,7.9,170025,485154
