title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
The Amazing Spider-Man 2,2014,Action,142,Marc Webb,Andrew Garfield,708.98,202.85,6.6,6.5,7.0,6.3,6.7,6.6,6.4,473728,284547,48225,479,97987,171118,35407,6.4,6.5,52360,173366
Teenage Mutant Ninja Turtles,2014,Action,101,Jonathan Liebesman,Megan Fox,485.0,191.2,5.8,5.8,6.0,5.6,6.0,5.8,5.6,207623,142032,19805,77,34981,99980,14017,5.7,5.7,24391,86347
The Imitation Game,2014,Biography,114,Morten Tyldum,Benedict Cumberbatch,233.56,91.13,8.0,7.9,8.3,8.0,8.2,7.9,7.9,737809,407035,115398,293,148150,273797,63094,7.9,7.9,63630,295994
Fury,2014,Action,134,David Ayer,Brad Pitt,211.82,85.82,7.6,7.5,7.5,7.7,7.8,7.5,7.4,464413,298993,37386,152,82916,182068,45416,7.6,7.4,45875,186468
John Wick,2014,Action,101,Chad Stahelski,Keanu Reeves,86.08,43.04,7.4,7.4,7.4,7.7,7.6,7.3,7.2,597021,359238,50998,462,98131,222167,57144,7.7,7.2,64441,226055
The Equalizer,2014,Action,132,Antoine Fuqua,Denzel Washington,192.33,101.53,7.2,7.2,7.3,7.1,7.3,7.2,7.3,358641,238665,29265,74,50520,152510,44079,7.3,7.1,36042,152643
Predestination,2014,Action,97,Michael Spierig,Ethan Hawke,4.94,0.07,7.5,7.5,7.4,8.1,7.8,7.4,7.2,273104,180452,27911,88,48141,119656,28218,7.4,7.4,20341,129777
Blended,2014,Comedy,117,Frank Coraci,Adam Sandler,127.99,46.29,6.5,6.4,6.8,6.2,6.7,6.4,6.3,128468,66768,29166,49,23024,52454,13499,6.4,6.4,15436,51653
Edge of Tomorrow,2014,Action,113,Doug Liman,Tom Cruise,370.54,100.21,7.9,7.9,7.7,7.9,8.0,7.9,7.8,647726,420135,56812,244,105373,267965,68186,8.0,7.8,70347,266953
Captain America: The Winter Soldier,2014,Action,136,Anthony Russo,Chris Evans,714.42,259.77,7.7,7.7,7.8,7.9,7.9,7.6,7.7,803618,459900,87720,644,150787,281305,65689,8.0,7.5,95461,272835
The Hobbit: The Battle of the Five Armies,2014,Adventure,144,Peter Jackson,Ian McKellen,962.18,255.12,7.4,7.3,7.7,7.4,7.5,7.3,7.4,507779,307012,61927,237,99753,198197,42747,7.3,7.3,47058,207851
Nightcrawler,2014,Crime,117,Dan Gilroy,Jake Gyllenhaal,47.4,32.38,7.8,7.9,7.6,8.4,8.1,7.8,7.6,513106,311902,52381,259,99301,200961,40275,7.9,7.8,56681,209251
Divergent,2014,Action,139,Neil Burger,Shailene Woodley,288.89,150.95,6.6,6.4,7.3,6.3,6.9,6.5,6.5,447329,224556,102352,189,92669,166945,42079,6.6,6.5,48394,172153
American Sniper,2014,Action,133,Clint Eastwood,Bradley Cooper,547.43,350.13,7.3,7.2,7.3,7.3,7.4,7.2,7.3,468666,295781,47222,114,82908,183614,49995,7.6,7.1,55951,183097
X-Men: Days of Future Past,2014,Action,132,Bryan Singer,Patrick Stewart,746.05,233.92,7.9,7.9,8.1,8.1,8.1,7.9,7.7,691051,425335,81125,282,131773,277267,56655,8.0,7.8,80325,263239
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy,119,Alejandro G. Iñárritu,Michael Keaton,103.22,42.34,7.7,7.8,7.4,8.2,8.0,7.7,7.3,612206,363089,79162,236,117377,243078,53505,7.8,7.7,65692,252645
The Maze Runner,2014,Action,113,Wes Ball,Dylan O'Brien,348.32,102.43,6.8,6.7,7.1,7.2,7.1,6.7,6.6,448069,243240,75940,284,93960,163500,36440,6.8,6.7,40061,176359
Unbroken,2014,Action,137,Angelina Jolie,Jack O'Connell,161.46,115.64,7.2,7.1,7.6,7.8,7.4,7.1,7.1,162161,96136,24065,54,29705,62580,19728,7.1,7.1,19897,66123
Sin City: A Dame to Kill For,2014,Action,102,Frank Miller,Mickey Rourke,39.41,13.76,6.5,6.5,6.5,5.8,6.7,6.5,6.5,159127,112851,13791,26,21052,81062,17960,6.3,6.5,17788,79198
Transformers: Age of Extinction,2014,Action,165,Michael Bay,Mark Wahlberg,1104.05,245.44,5.6,5.6,6.0,5.1,5.7,5.6,5.6,308401,207731,27256,126,55961,130357,27923,5.5,5.6,34182,121502
Horrible Bosses 2,2014,Comedy,108,Sean Anders,Jason Bateman,107.65,54.45,6.3,6.3,6.3,6.2,6.5,6.2,6.0,167924,104938,22732,41,32854,72898,13614,6.3,6.2,20475,73179
It Follows,2014,Horror,100,David Robert Mitchell,Maika Monroe,21.95,14.67,6.8,6.9,6.5,6.8,6.9,6.8,6.6,229496,136186,29675,101,40237,93835,22232,7.1,6.7,35104,91309
Lucy,2014,Action,89,Luc Besson,Scarlett Johansson,458.86,126.66,6.4,6.4,6.4,6.7,6.4,6.3,6.5,478010,285506,68979,224,83320,192875,52172,6.3,6.3,43730,201757
The Big Short,2015,Biography,130,Adam McKay,Christian Bale,133.44,70.26,7.8,7.8,7.6,7.7,7.8,7.7,7.7,408483,243251,44991,159,71841,159756,37910,7.9,7.7,45265,168310
Fifty Shades of Grey,2015,Drama,125,Sam Taylor-Johnson,Dakota Johnson,569.65,166.17,4.1,3.8,4.8,3.6,4.1,4.1,4.2,311507,130811,92865,98,70395,114034,23265,4.2,4.0,27226,111177
Mad Max: Fury Road,2015,Action,120,George Miller,Tom Hardy,375.66,154.06,8.1,8.1,7.9,8.2,8.3,8.1,7.6,954231,555847,92325,424,167266,347386,80602,8.2,8.0,99142,347591
Jurassic World,2015,Action,124,Colin Trevorrow,Chris Pratt,1670.52,652.27,7.0,6.9,7.3,7.0,7.1,6.9,6.8,613477,354661,76431,384,103953,238972,54513,7.1,6.8,76511,226916
The Martian,2015,Adventure,144,Ridley Scott,Matt Damon,630.16,228.43,8.0,8.0,8.0,7.9,8.1,7.9,7.9,817417,465381,93941,428,139861,297543,77315,8.1,7.9,82792,308730
Cinderella,2015,Adventure,105,Kenneth Branagh,Lily James,542.36,201.15,6.9,6.8,7.1,6.5,7.0,6.8,7.0,172574,65693,55218,132,33506,62891,16160,7.1,6.8,21088,64824
The Revenant,2015,Action,156,Alejandro G. Iñárritu,Leonardo DiCaprio,532.95,183.64,8.0,8.0,7.8,8.2,8.1,7.9,7.8,766826,434919,81814,368,136423,273567,65037,8.1,7.9,71537,287426
Star Wars: Episode VII - The Force Awakens,2015,Action,138,J.J. Abrams,Daisy Ridley,2069.52,936.66,7.8,7.8,8.1,7.2,7.9,7.8,7.8,900686,522689,85465,511,147048,314753,92874,8.0,7.7,109107,307613
Sicario,2015,Action,121,Denis Villeneuve,Emily Blunt,85.0,46.89,7.6,7.7,7.3,7.8,7.7,7.6,7.6,409664,263338,31514,139,63140,166788,45128,7.9,7.6,46781,172803
The Hateful Eight,2015,Crime,168,Quentin Tarantino,Samuel L. Jackson,156.48,54.12,7.8,7.8,7.5,8.5,8.1,7.7,7.4,569494,340426,49118,272,99342,209464,53312,7.7,7.8,59545,222239
Avengers: Age of Ultron,2015,Action,141,Joss Whedon,Robert Downey Jr.,1402.81,459.01,7.3,7.2,7.6,7.1,7.4,7.2,7.3,818903,449331,86627,746,153340,272102,62644,7.4,7.2,88819,270862
The VVitch: A New-England Folktale,2015,Drama,92,Robert Eggers,Anya Taylor-Joy,40.42,25.14,6.9,7.0,6.5,7.5,7.2,6.8,6.6,234196,130409,28435,138,40065,85987,22073,7.1,6.8,33522,85021
Spectre,2015,Action,148,Sam Mendes,Daniel Craig,880.68,200.07,6.8,6.8,6.8,6.9,6.8,6.7,6.9,426957,267456,37674,182,69528,165283,48863,6.8,6.7,43502,178184
In the Heart of the Sea,2015,Action,122,Ron Howard,Chris Hemsworth,93.92,25.02,6.9,6.9,7.0,7.0,7.0,6.8,6.9,134061,82646,16769,50,20699,55605,16735,6.8,6.8,12841,59916
Legend,2015,Biography,132,Brian Helgeland,Tom Hardy,42.97,1.87,6.9,6.9,7.2,7.1,7.1,6.8,6.8,172552,103885,20314,37,30744,67970,16991,6.7,6.9,13090,77071
Room,2015,Drama,118,Lenny Abrahamson,Brie Larson,35.4,14.68,8.1,8.0,8.3,7.9,8.3,8.0,7.9,403339,203703,71811,202,79593,143479,31634,8.1,8.0,41201,157159
Ant-Man,2015,Action,117,Peyton Reed,Paul Rudd,519.31,180.2,7.3,7.2,7.4,7.1,7.3,7.2,7.3,630678,351171,64709,621,112845,215161,52606,7.4,7.2,70052,219141
Inside Out,2015,Animation,95,Pete Docter,Amy Poehler,858.85,356.46,8.1,8.1,8.2,7.9,8.3,8.1,7.9,675815,335337,109923,746,133091,229966,45441,8.2,8.1,69080,240519
The Lobster,2015,Comedy,119,Yorgos Lanthimos,Colin Farrell,15.51,8.7,7.2,7.1,7.1,8.1,7.5,7.1,6.6,243627,133730,39878,111,45680,95619,22361,7.1,7.1,25577,105077
Knock Knock,2015,Drama,99,Eli Roth,Keanu Reeves,5.57,0.04,4.9,4.9,4.4,3.8,4.8,4.9,4.9,91219,55872,10965,37,13888,37846,10910,4.8,4.9,10502,38590
The Visit,2015,Horror,94,M. Night Shyamalan,Olivia DeJonge,98.45,65.21,6.3,6.2,6.4,5.4,6.3,6.3,6.1,126088,71684,20120,65,19306,51708,15309,6.2,6.2,19318,50667
Everest,2015,Action,121,Baltasar Kormákur,Jason Clarke,203.43,43.48,7.1,7.0,7.2,7.1,7.2,7.0,7.0,212786,131683,27431,64,33471,92149,23619,7.0,7.0,18093,98493
Spotlight,2015,Biography,129,Tom McCarthy,Mark Ruffalo,98.69,45.06,8.1,8.0,8.1,7.8,8.2,8.0,8.0,453700,252665,63743,131,82058,169682,42316,8.2,8.0,49654,181192
Eddie the Eagle,2015,Biography,106,Dexter Fletcher,Taron Egerton,46.15,15.79,7.4,7.3,7.5,7.3,7.4,7.3,7.3,91269,55352,12389,37,13782,37971,11638,7.3,7.3,8024,42903
The Age of Adaline,2015,Drama,112,Lee Toland Krieger,Blake Lively,65.66,42.48,7.2,7.1,7.4,7.4,7.4,7.1,7.2,168934,68613,53645,37,32710,64185,17506,7.2,7.1,16838,68940
The Man from U.N.C.L.E.,2015,Action,116,Guy Ritchie,Henry Cavill,107.05,45.45,7.3,7.2,7.5,7.4,7.4,7.2,7.0,297817,178549,39831,85,50944,121419,31870,7.2,7.2,29009,130064
Crimson Peak,2015,Drama,119,Guillermo del Toro,Mia Wasikowska,74.68,31.09,6.5,6.4,6.8,6.9,6.8,6.5,6.5,143083,75443,32654,42,23026,62409,16950,6.6,6.5,19638,62112
Mission: Impossible - Rogue Nation,2015,Action,131,Christopher McQuarrie,Tom Cruise,682.72,195.04,7.4,7.4,7.4,7.7,7.6,7.3,7.4,361181,234269,28953,170,58603,144859,41274,7.6,7.3,40914,150431
Carol,2015,Drama,118,Todd Haynes,Cate Blanchett,40.27,12.71,7.3,7.2,7.3,7.8,7.5,7.1,7.1,125360,58216,32369,65,23013,47356,15671,7.4,7.2,14391,55208
Straight Outta Compton,2015,Biography,147,F. Gary Gray,O'Shea Jackson Jr.,201.63,161.2,7.8,7.8,7.9,7.9,8.0,7.7,7.5,194059,122238,17684,49,38406,74991,16702,7.9,7.7,28919,72826
Sing,2016,Animation,108,Garth Jennings,Matthew McConaughey,634.21,270.4,7.1,7.1,7.3,6.9,7.2,7.1,7.2,157510,70526,31785,257,25607,52791,14764,7.0,7.1,19198,53485
13 Hours,2016,Action,144,Michael Bay,John Krasinski,69.41,52.85,7.3,7.3,7.5,6.9,7.3,7.2,7.4,134883,86592,9377,32,16823,52100,19333,7.6,7.1,18999,51053
Suicide Squad,2016,Action,123,David Ayer,Will Smith,746.85,325.1,5.9,5.8,6.3,5.2,5.9,5.9,6.0,665089,348828,79651,532,122504,212200,48077,5.8,5.9,66869,218903
Jack Reacher: Never Go Back,2016,Action,118,Edward Zwick,Tom Cruise,162.15,58.7,6.2,6.1,6.2,6.0,6.2,6.0,6.3,151728,100535,10520,43,17306,60654,25053,6.2,6.1,16490,66910
Hacksaw Ridge,2016,Biography,139,Mel Gibson,Andrew Garfield,180.56,67.21,8.1,8.1,8.3,8.4,8.3,8.0,8.0,490092,275943,46201,337,93679,157289,41575,8.1,8.0,47056,178113
Deadpool,2016,Action,108,Tim Miller,Ryan Reynolds,782.84,363.07,8.0,8.0,8.0,8.0,8.1,7.9,7.8,979623,526356,111720,649,181078,318842,72789,8.1,7.8,98223,326670
Moana,2016,Animation,107,Ron Clements,Auli'i Cravalho,644.14,248.76,7.6,7.5,7.9,7.6,7.7,7.6,7.5,312521,145164,57898,417,58222,105693,21768,7.8,7.5,39178,106444
The Magnificent Seven,2016,Action,132,Antoine Fuqua,Denzel Washington,162.36,93.43,6.9,6.8,7.0,6.4,7.0,6.8,6.8,205199,130127,17846,56,28145,81241,27346,6.9,6.8,25480,83315
Hell or High Water,2016,Action,102,David Mackenzie,Chris Pine,37.88,26.86,7.6,7.6,7.4,7.8,7.8,7.6,7.6,221724,144498,16340,61,33666,88563,28530,7.9,7.5,32051,92404
Rogue One,2016,Action,133,Gareth Edwards,Felicity Jones,1056.06,532.18,7.8,7.8,7.7,7.7,7.8,7.7,7.8,596641,349396,51151,406,92095,207031,65202,7.9,7.7,75576,210278
Doctor Strange,2016,Action,115,Scott Derrickson,Benedict Cumberbatch,677.8,232.64,7.5,7.4,7.7,7.7,7.6,7.4,7.4,678831,355193,77101,747,120973,218128,53284,7.5,7.4,70058,229543
Hidden Figures,2016,Biography,127,Theodore Melfi,Taraji P. Henson,235.96,169.61,7.9,7.7,8.2,7.8,7.9,7.8,7.9,218820,106318,48276,98,32130,81080,30058,7.9,7.7,29792,84741
Arrival,2016,Drama,116,Denis Villeneuve,Amy Adams,203.39,100.55,7.9,7.9,7.9,8.2,8.2,7.9,7.6,660148,374178,75983,337,109423,240364,64515,8.0,7.9,69419,256339
Captain America: Civil War,2016,Action,147,Anthony Russo,Chris Evans,1153.34,408.08,7.8,7.8,7.8,7.9,7.9,7.7,7.6,739197,393485,70480,754,133785,228292,53323,8.0,7.6,78472,231552
La La Land,2016,Comedy,128,Damien Chazelle,Ryan Gosling,448.91,151.1,8.0,8.0,7.8,8.2,8.3,7.9,7.4,556295,262086,96573,450,114016,172746,41933,8.0,7.9,57382,197642
Fantastic Beasts and Where to Find Them,2016,Adventure,132,David Yates,Eddie Redmayne,814.04,234.04,7.3,7.1,7.7,7.3,7.4,7.2,7.2,443463,222129,76584,368,90607,149132,34181,7.3,7.2,43464,167499
Me Before You,2016,Drama,106,Thea Sharrock,Emilia Clarke,208.31,56.25,7.4,7.2,7.6,7.5,7.4,7.2,7.3,237734,81811,68833,178,50547,71568,15514,7.3,7.2,17003,83600
Zootopia,2016,Animation,108,Byron Howard,Ginnifer Goodwin,1024.12,341.27,8.0,7.9,8.2,8.0,8.2,7.9,7.8,473516,239682,73811,516,93829,161672,30199,8.0,7.9,51022,168773
Nocturnal Animals,2016,Drama,116,Tom Ford,Amy Adams,30.31,10.64,7.5,7.5,7.4,7.7,7.8,7.4,7.2,264538,147314,40468,95,47530,101920,25737,7.4,7.5,27107,112119
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Action,112,Dave Green,Megan Fox,245.62,82.05,6.0,5.9,6.1,5.7,6.0,5.9,5.9,90671,59032,6288,59,13631,40273,6037,5.9,5.9,9571,37061
X-Men: Apocalypse,2016,Action,144,Bryan Singer,James McAvoy,543.93,155.44,6.9,6.8,7.2,6.5,6.9,6.9,6.9,418693,244238,43983,237,71843,156136,34884,6.8,6.9,44801,156413
Passengers,2016,Drama,116,Morten Tyldum,Jennifer Lawrence,303.14,100.01,7.0,7.0,7.0,6.8,7.0,6.9,7.1,384834,212665,55679,199,59793,144813,41931,6.9,6.9,36700,156459
Ghostbusters,2016,Action,117,Paul Feig,Melissa McCarthy,229.15,128.34,6.9,4.9,6.4,4.2,5.2,5.2,5.1,223996,119935,35662,133,23972,87608,29094,5.3,5.1,34171,77137
Star Trek Beyond,2016,Action,122,Justin Lin,Chris Pine,343.47,158.85,7.0,7.0,7.4,7.2,7.2,7.0,7.1,240705,154106,23670,58,29721,98762,36160,7.2,6.9,35414,97361
Split,2016,Horror,117,M. Night Shyamalan,James McAvoy,278.45,138.29,7.3,7.3,7.4,7.6,7.4,7.3,7.1,468518,244083,67474,277,86722,162383,36911,7.3,7.2,49476,170935
The Nice Guys,2016,Action,116,Shane Black,Russell Crowe,62.79,36.26,7.4,7.4,7.2,7.9,7.6,7.3,7.0,308980,187174,31515,123,56310,119547,28020,7.5,7.3,34534,129507
Batman v Superman: Dawn of Justice,2016,Action,152,Zack Snyder,Ben Affleck,873.64,330.36,6.4,6.5,6.3,5.8,6.5,6.4,6.4,676972,390942,53355,394,115242,226865,50829,6.3,6.4,69227,217546
War Dogs,2016,Biography,114,Todd Phillips,Jonah Hill,86.23,43.03,7.1,7.1,7.0,7.3,7.2,7.1,7.0,203239,126938,15010,59,36589,78869,16531,7.0,7.1,20981,83251
Moonlight,2016,Drama,111,Barry Jenkins,Mahershala Ali,65.34,27.85,7.4,7.3,7.6,8.1,7.7,7.3,7.2,296105,158570,42315,171,58682,102605,25654,7.8,7.3,35580,113663
The Huntsman: Winter's War,2016,Action,114,Cedric Nicolas-Troyan,Chris Hemsworth,164.99,48.39,6.1,6.0,6.4,5.9,6.2,6.0,6.1,106736,55193,21571,36,15956,42060,12879,6.1,6.0,10481,44796
Murder on the Orient Express,2017,Crime,114,Kenneth Branagh,Kenneth Branagh,352.79,102.83,6.5,6.5,6.6,7.0,6.7,6.5,6.4,233149,126356,36962,148,40445,83766,25725,6.5,6.4,25029,95202
Spider-Man: Homecoming,2017,Action,133,Jon Watts,Tom Holland,880.17,334.2,7.4,7.4,7.5,7.6,7.5,7.3,7.3,611358,316163,56893,946,114162,179775,42367,7.6,7.3,65161,193539
Kingsman: The Golden Circle,2017,Action,141,Matthew Vaughn,Taron Egerton,410.9,100.23,6.7,6.7,6.9,6.9,6.9,6.6,6.6,307342,171426,35937,235,56527,104211,28228,6.7,6.7,31512,116868
Blade Runner 2049,2017,Action,164,Denis Villeneuve,Harrison Ford,259.33,92.05,8.0,8.0,7.6,8.3,8.2,7.9,7.7,528357,309706,43169,294,81177,183324,58341,8.0,7.9,55234,201736
Wind River,2017,Crime,107,Taylor Sheridan,Elizabeth Olsen,43.98,33.8,7.7,7.7,7.7,8.1,7.9,7.6,7.7,237805,142990,25155,64,34147,90633,30996,7.9,7.6,29928,97097
Baby Driver,2017,Action,113,Edgar Wright,Ansel Elgort,226.95,107.83,7.6,7.5,7.5,8.0,7.8,7.4,7.3,500253,276918,51707,442,95856,165201,39279,7.8,7.4,53127,184335
Thor: Ragnarok,2017,Action,130,Taika Waititi,Chris Hemsworth,853.98,315.06,7.9,7.8,8.1,8.1,8.0,7.8,7.7,680526,348714,71954,841,118248,208259,51956,8.1,7.7,74990,213497
Baywatch,2017,Action,116,Seth Gordon,Dwayne Johnson,177.86,58.06,5.5,5.5,5.7,5.1,5.7,5.5,5.4,179315,98329,23045,148,32613,63691,14638,5.5,5.4,19127,68122
Call Me by Your Name,2017,Drama,132,Luca Guadagnino,Armie Hammer,41.89,18.1,7.9,7.7,8.2,8.0,8.1,7.7,7.4,250941,101391,53772,308,53543,72471,18547,7.9,7.8,23088,90461
Get Out,2017,Horror,104,Jordan Peele,Daniel Kaluuya,255.59,176.04,7.7,7.7,7.7,8.1,7.9,7.6,7.4,550029,286509,72650,381,101221,183849,45269,7.9,7.6,68428,190967
The Greatest Showman,2017,Biography,105,Michael Gracey,Hugh Jackman,436.95,174.34,7.6,7.4,7.9,7.2,7.6,7.5,7.5,266799,114306,57397,263,48657,78808,26631,7.6,7.4,35026,84093
The Shape of Water,2017,Drama,123,Guillermo del Toro,Sally Hawkins,195.33,63.86,7.3,7.3,7.3,7.4,7.5,7.2,7.3,403871,210731,65181,178,69701,142654,43061,7.5,7.2,45835,156956
Dunkirk,2017,Action,106,Christopher Nolan,Fionn Whitehead,527.02,188.37,7.8,7.8,7.9,7.8,8.0,7.8,7.6,618947,349942,58380,460,114573,203757,53211,7.9,7.8,59696,230955
Logan,2017,Action,137,James Mangold,Hugh Jackman,619.18,226.28,8.1,8.1,7.9,8.6,8.3,7.9,7.7,713845,402831,62047,472,129910,233419,53083,8.2,7.9,75486,242598
Phantom Thread,2017,Drama,130,Paul Thomas Anderson,Vicky Krieps,47.76,21.02,7.5,7.5,7.2,8.4,7.8,7.4,7.1,126026,69295,19523,78,22234,45657,15620,7.6,7.4,17279,52155
The Foreigner,2017,Action,113,Martin Campbell,Katie Leung,145.42,34.39,7.0,7.0,7.0,7.2,7.0,6.9,7.1,110928,74140,7882,29,15225,44872,15570,7.1,6.9,12373,48666
"I, Tonya",2017,Biography,119,Craig Gillespie,Margot Robbie,53.94,30.01,7.5,7.4,7.5,7.6,7.6,7.4,7.4,205232,102446,38128,138,34118,74591,22786,7.6,7.4,27470,80147
Star Wars: Episode VIII - The Last Jedi,2017,Action,152,Rian Johnson,Daisy Ridley,1332.7,620.18,6.9,6.9,7.5,6.6,7.1,6.9,7.0,603897,350985,50512,506,93274,202500,64689,7.0,6.9,79056,203806
Coco,2017,Animation,105,Lee Unkrich,Anthony Gonzalez,807.82,209.73,8.4,8.3,8.6,8.3,8.5,8.3,8.1,462367,215395,67010,771,85911,139568,29985,8.3,8.3,47221,150531
Good Time,2017,Crime,102,Benny Safdie,Robert Pattinson,3.28,2.03,7.4,7.3,7.1,8.0,7.7,7.2,6.8,111177,63999,8626,125,22414,36748,8945,7.5,7.2,14804,41883
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,115,Martin McDonagh,Frances McDormand,160.26,54.51,8.1,8.1,8.2,8.2,8.3,8.1,8.1,482202,261101,64048,206,80490,168146,52121,8.0,8.1,49607,190366
Guardians of the Galaxy Vol. 2,2017,Action,136,James Gunn,Chris Pratt,863.76,389.81,7.6,7.6,7.8,7.8,7.7,7.5,7.6,636981,339152,67720,686,109435,205431,52808,7.7,7.5,72713,210502
Wonder,2017,Drama,113,Stephen Chbosky,Jacob Tremblay,306.21,132.42,8.0,7.9,8.1,7.6,8.1,7.9,7.8,157775,76166,30293,184,28002,53963,15231,7.9,7.9,14479,60819
Wonder Woman,2017,Action,141,Patty Jenkins,Gal Gadot,822.82,412.56,7.4,7.3,7.7,7.3,7.5,7.3,7.4,627444,330186,79573,494,105856,204918,58192,7.7,7.2,75296,208107
Beauty and the Beast,2017,Adventure,129,Bill Condon,Emma Watson,1273.58,504.01,7.1,6.9,7.6,6.6,7.2,7.0,7.1,296997,121888,74530,297,54786,102587,21585,7.2,7.0,37637,100837
Justice League,2017,Action,120,Zack Snyder,Ben Affleck,657.93,229.02,6.1,6.1,6.5,4.9,6.0,6.1,6.4,434859,247771,37898,404,75223,143032,36309,6.1,6.1,48591,145406
It,2017,Horror,135,Andy Muschietti,Bill Skarsgård,701.8,327.48,7.3,7.3,7.3,7.4,7.4,7.3,7.1,508289,259848,63751,626,94872,161328,38224,7.5,7.2,58858,169150
King Arthur: Legend of the Sword,2017,Action,126,Guy Ritchie,Charlie Hunnam,148.68,39.18,6.7,6.6,7.2,6.4,6.9,6.7,6.5,209886,120948,28451,61,31918,82327,21847,6.6,6.6,20105,86071
Jumanji: Welcome to the Jungle,2017,Action,119,Jake Kasdan,Dwayne Johnson,962.54,404.52,6.9,6.8,7.3,7.0,7.0,6.8,7.0,358242,189586,47396,438,60307,122330,33044,7.1,6.8,42896,127356
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Action,129,Joachim Rønning,Johnny Depp,794.88,172.56,6.5,6.5,6.9,6.7,6.6,6.5,6.5,290304,156914,35308,278,59767,93013,21269,6.5,6.5,25994,108444
Avengers: Infinity War,2018,Action,149,Anthony Russo,Robert Downey Jr.,2048.36,678.82,8.4,8.4,8.4,8.6,8.6,8.3,8.1,981834,492347,86733,1449,183204,265078,64138,8.5,8.3,98102,284749
Jurassic World: Fallen Kingdom,2018,Action,128,J.A. Bayona,Chris Pratt,1310.47,417.72,6.2,6.1,6.6,6.3,6.2,6.1,6.3,292315,164484,32370,309,43867,107048,28962,6.1,6.1,35875,107437
Spider-Man: Into the Spider-Verse,2018,Animation,117,Bob Persichetti,Shameik Moore,375.54,190.24,8.4,8.3,8.5,8.8,8.6,8.3,8.0,470853,234227,35947,989,88859,127943,29452,8.5,8.2,51104,137432
Black Panther,2018,Action,134,Ryan Coogler,Chadwick Boseman,1347.6,700.06,7.3,7.1,7.8,7.5,7.5,7.2,7.1,706905,358757,81009,811,120710,214176,59104,7.6,7.1,86395,216617
Venom,2018,Action,112,Ruben Fleischer,Tom Hardy,856.09,213.52,6.7,6.6,7.1,6.8,6.7,6.6,6.6,454200,236051,43858,646,79503,140139,34607,6.6,6.5,43271,150006
Annihilation,2018,Adventure,115,Alex Garland,Natalie Portman,43.07,32.73,6.8,6.8,6.8,6.9,7.1,6.8,6.5,307478,180291,35214,114,47998,118936,32653,7.0,6.7,36826,124373
Hereditary,2018,Drama,127,Ari Aster,Toni Collette,80.24,44.07,7.3,7.3,7.0,7.5,7.6,7.2,6.8,284009,145380,36415,239,50677,93614,24555,7.5,7.2,36229,97659
Ready Player One,2018,Action,140,Steven Spielberg,Tye Sheridan,582.89,137.69,7.4,7.4,7.4,7.4,7.5,7.4,7.3,413886,237431,38774,371,67023,144634,39645,7.4,7.4,45884,151875
Green Book,2018,Biography,130,Peter Farrelly,Viggo Mortensen,321.75,85.08,8.2,8.2,8.4,8.1,8.3,8.2,8.2,450898,228601,55972,382,74942,145924,44053,8.1,8.2,35924,168167
Solo: A Star Wars Story,2018,Action,135,Ron Howard,Alden Ehrenreich,392.92,213.77,6.9,6.9,7.0,6.8,6.9,6.8,7.0,324806,189728,24956,324,45169,109971,40912,7.0,6.8,45050,112249
Mission: Impossible - Fallout,2018,Action,147,Christopher McQuarrie,Tom Cruise,791.66,220.16,7.7,7.7,7.5,8.2,8.0,7.6,7.6,316759,193189,23138,240,49891,112274,35133,7.9,7.6,36184,121956
Fantastic Beasts: The Crimes of Grindelwald,2018,Adventure,134,David Yates,Eddie Redmayne,654.86,159.56,6.5,6.4,7.0,6.5,6.6,6.5,6.5,251518,124537,38808,305,49967,80906,19514,6.5,6.5,23193,92054
Deadpool 2,2018,Action,119,David Leitch,Ryan Reynolds,785.9,324.59,7.7,7.6,7.8,7.8,7.8,7.6,7.6,541491,293096,53438,533,97896,173441,42998,7.7,7.6,57985,183917
A Quiet Place,2018,Drama,90,John Krasinski,Emily Blunt,340.95,188.02,7.5,7.5,7.6,7.7,7.6,7.4,7.4,498699,251274,63702,481,84245,160576,43140,7.7,7.4,60078,165615
A Star Is Born,2018,Drama,136,Bradley Cooper,Lady Gaga,436.19,215.29,7.6,7.6,7.7,7.4,7.8,7.5,7.5,367742,175654,68294,224,66690,122945,37789,7.8,7.5,41649,132275
Aquaman,2018,Action,143,James Wan,Jason Momoa,1148.49,335.06,6.9,6.8,6.9,6.9,7.0,6.8,6.7,432377,223924,46113,492,71632,137639,39244,6.8,6.7,44930,140287
Crazy Rich Asians,2018,Comedy,120,Jon M. Chu,Constance Wu,238.54,174.53,6.9,6.7,7.2,6.9,7.1,6.8,6.8,163214,69625,37139,111,28558,53289,17378,7.1,6.7,27792,50846
Ocean's Eight,2018,Action,110,Gary Ross,Sandra Bullock,297.72,140.22,6.3,6.0,6.8,6.9,6.5,6.1,6.2,208675,98467,41368,140,34653,72651,22061,6.3,6.2,24885,77879
